ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Flag_cancellation;Sum_contribution_margin_2
3044518;Herrn;N;62;0;1;3;1;-;-;-;-;18985,7;-;0;0;0;-;-;-;-4,641736527;0;0;185,500573
3044559;Frau und Herrn;N;50;0;0;1;2;-;-;0;n/a;2057,608;21;0;0;0;-;-;-;-1;0;0;39,70462096
3044575;Frau und Herrn;N;20;0;1;2;2;-;-;-;-;14080;2,5;0;0;0;-;-;-;-1;0;0;226,68144
3044575;Frau und Herrn;N;20;0;1;2;2;-;-;-;-;14080;8,27;0;0;0;-;-;-;-1;0;0;226,68144
3044575;Frau und Herrn;N;20;0;1;2;2;-;-;-;-;14080;158;0;0;0;-;-;-;-1;0;0;226,68144
3044583;Firma;J;41;0;0;1;2;-;-;-;-;761,9;21,11;0;0;0;-;-;-;-0,246071429;0;0;43,968871
3044591;Herrn;N;-;0;1;1;1;-;-;600;rot;1619,2;39,31;0;0;0;-;-;-;-2,2238;0;0;75,766128
3044633;Herrn;N;44;0;0;3;0;06.09.2018;06.09.2018;-;-;6334,13;-;0;0;0;-;-;-;-15,62673913;0;1;195,5993426
3044658;Herrn;N;-;0;0;1;1;-;-;-;-;4086,083;23,82;0;0;0;-;-;-;-2,252857143;0;0;67,33245046
3044682;Herrn;N;23;0;1;2;1;-;-;-;-;12629,584;-;0;0;0;-;-;-;-0,931031746;0;0;181,02135088
3044716;Frau und Herrn;N;28;1;1;1;0;29.10.2018;18.09.2019;600;rot;17622,92;2,5;0;0;0;-;-;-;-1,189677419;0;1;301,0983364
3044716;Frau und Herrn;N;28;1;1;1;0;29.10.2018;18.09.2019;600;rot;17622,92;37,14;0;0;0;-;-;-;-1,189677419;0;1;301,0983364
3044716;Frau und Herrn;N;28;1;1;1;0;29.10.2018;18.09.2019;600;rot;17622,92;62;0;0;0;-;-;-;-1,189677419;0;1;301,0983364
3044716;Frau und Herrn;N;28;1;1;1;0;29.10.2018;18.09.2019;600;rot;17622,92;196,29;0;0;0;-;-;-;-1,189677419;0;1;301,0983364
3044724;Herrn;N;43;0;0;2;2;-;-;-;-;47094,6;-;0;0;0;-;-;-;-1;0;0;549,307994
3044732;Frau;N;-;0;0;1;1;-;-;-;-;546,008;24;0;0;0;-;-;-;1,626666667;1;0;35,96143672
3044765;Herrn;N;25;0;1;1;1;-;-;0;n/a;1186;2,5;0;0;0;-;-;-;-0,44575;0;0;59,69874
3044765;Herrn;N;25;0;1;1;1;-;-;0;n/a;1186;22,17;0;0;0;-;-;-;-0,44575;0;0;59,69874
