ID_caperpin;Title;Client_type;Age;Flag_e-mail_deposited;Flag_mobile_deposited;Number_contractual_relationships;Customer_for_years;Minimum_contract_term;Maximum_contract_term;Credit_rating_score;Credit_rating_traffic_light;Total_consumption;Open_item_amount;Flag_advertising_permission_e-mail;Flag_advertising_permission_post;Flag_advertising_permission_telephone;OptIn_data_protection_regulations;OptIn_newsletter;Vorteilswelt_customer_since;Factor_subsequent_payment;Flag_invoice_shock;Sum_contribution_margin_2
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;86,21;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;92;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;118;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;129,46;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;213;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;397;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;418,17;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;419,04;0;0;0;-;-;-;2,314943038;1;1929,37287357
343451;Herrn;N;55;1;1;16;5;20.12.2018;31.03.2019;540;gelb;179492,877;496,58;0;0;0;-;-;-;2,314943038;1;1929,37287357
343455;Frau und Herrn;N;50;0;0;1;2;-;-;-;-;1732;-;0;0;0;-;-;-;1,723888889;1;35,26984
